iter	Passed	Remaining
408	4047	5848
409	4055	5835
410	4064	5824
411	4074	5815
412	4084	5804
413	4092	5792
414	4100	5780
415	4108	5767
416	4114	5752
417	4122	5739
418	4128	5724
419	4134	5709
420	4140	5693
421	4147	5680
422	4152	5664
423	4159	5650
424	4165	5636
425	4171	5620
426	4179	5608
427	4185	5593
428	4192	5580
429	4198	5565
430	4204	5550
431	4211	5536
432	4216	5521
433	4222	5506
434	4228	5492
435	4234	5477
436	4241	5464
437	4247	5450
438	4253	5435
439	4261	5424
440	4269	5411
441	4278	5400
442	4286	5389
443	4294	5378
444	4302	5366
445	4312	5357
446	4320	5345
447	4328	5333
448	4337	5322
449	4344	5310
450	4352	5298
451	4360	5287
452	4368	5275
453	4377	5264
454	4388	5256
455	4402	5251
456	4411	5241
457	4418	5228
458	4427	5218
459	4434	5205
460	4442	5193
461	4448	5180
462	4455	5167
463	4461	5154
464	4468	5141
465	4476	5129
466	4482	5115
467	4490	5104
468	4496	5091
469	4504	5079
470	4510	5066
471	4516	5052
472	4524	5040
473	4530	5027
474	4537	5015
475	4543	5001
476	4549	4988
477	4557	4976
478	4562	4963
479	4570	4950
480	4575	4937
481	4581	4923
482	4588	4911
483	4594	4897
484	4600	4885
485	4607	4872
486	4613	4859
487	4620	4847
488	4625	4833
489	4631	4820
490	4637	4807
491	4643	4794
492	4649	4781
493	4655	4768
494	4661	4755
495	4668	4743
496	4673	4730
497	4679	4717
498	4685	4704
499	4691	4691
500	4698	4679
501	4706	4669
502	4713	4657
503	4721	4646
504	4729	4635
505	4737	4625
506	4744	4613
507	4752	4602
508	4759	4590
509	4765	4579
510	4771	4566
511	4777	4553
512	4785	4542
513	4791	4530
514	4797	4517
515	4803	4505
516	4809	4492
517	4816	4481
518	4822	4469
519	4828	4457
520	4835	4445
521	4841	4433
522	4847	4421
523	4853	4409
524	4859	4396
525	4867	4386
526	4874	4374
527	4882	4364
528	4889	4353
529	4897	4342
530	4904	4331
531	4915	4324
532	4923	4313
533	4933	4304
534	4939	4293
535	4948	4283
536	4955	4272
537	4964	4263
538	4971	4251
539	4978	4241
540	4985	4230
541	4992	4218
542	4999	4207
543	5006	4196
544	5013	4185
545	5020	4174
546	5027	4163
547	5035	4153
548	5042	4142
549	5049	4131
550	5055	4119
551	5062	4109
552	5069	4097
553	5077	4087
554	5083	4076
555	5090	4065
556	5097	4054
557	5103	4042
558	5111	4032
559	5117	4021
560	5124	4010
561	5132	4000
562	5141	3990
563	5148	3979
564	5154	3968
565	5162	3958
566	5168	3947
567	5176	3936
568	5183	3926
569	5190	3915
570	5197	3905
571	5204	3894
572	5211	3883
573	5218	3872
574	5225	3862
575	5233	3852
576	5240	3841
577	5248	3831
578	5254	3820
579	5262	3810
580	5268	3799
581	5276	3789
582	5282	3778
583	5290	3768
584	5296	3757
585	5303	3746
586	5310	3736
587	5316	3725
588	5324	3715
589	5331	3705
590	5339	3694
591	5345	3683
592	5350	3672
593	5358	3662
594	5364	3651
595	5370	3640
596	5376	3629
597	5382	3618
598	5389	3607
599	5394	3596
600	5400	3585
601	5407	3575
602	5414	3564
603	5421	3554
604	5427	3543
605	5433	3532
606	5439	3521
607	5444	3510
608	5451	3499
609	5459	3490
610	5465	3479
611	5471	3468
612	5477	3457
613	5483	3447
614	5488	3436
615	5494	3425
616	5500	3414
617	5506	3403
618	5512	3392
619	5518	3382
620	5524	3371
621	5530	3360
622	5536	3350
623	5542	3339
624	5547	3328
625	5553	3318
626	5559	3307
627	5565	3296
628	5574	3287
629	5580	3277
630	5586	3266
631	5592	3256
632	5598	3245
633	5604	3235
634	5610	3224
635	5616	3214
636	5622	3204
637	5628	3193
638	5635	3183
639	5641	3173
640	5646	3162
641	5653	3152
642	5658	3141
643	5665	3131
644	5672	3122
645	5678	3111
646	5684	3101
647	5690	3091
648	5696	3080
649	5702	3070
650	5708	3060
651	5715	3050
652	5721	3040
653	5727	3029
654	5733	3020
655	5739	3009
656	5745	2999
657	5752	2989
658	5758	2979
659	5764	2969
660	5771	2960
661	5777	2950
662	5783	2939
663	5789	2929
664	5796	2919
665	5801	2909
666	5807	2899
667	5814	2889
668	5820	2879
669	5826	2869
670	5832	2859
671	5838	2849
672	5844	2839
673	5850	2829
674	5855	2819
675	5862	2809
676	5868	2799
677	5874	2789
678	5881	2780
679	5887	2770
680	5894	2761
681	5900	2751
682	5907	2741
683	5913	2732
684	5919	2722
685	5925	2712
686	5931	2702
687	5937	2692
688	5944	2683
689	5950	2673
690	5955	2663
691	5963	2654
692	5969	2644
693	5977	2635
694	5983	2626
695	5989	2616
696	5996	2606
697	6001	2596
698	6009	2587
699	6015	2577
700	6020	2568
701	6027	2558
702	6032	2548
703	6038	2538
704	6045	2529
705	6050	2519
706	6057	2510
707	6063	2500
708	6069	2491
709	6075	2481
710	6083	2472
711	6089	2463
712	6095	2453
713	6103	2444
714	6111	2436
715	6119	2427
716	6126	2418
717	6134	2409
718	6142	2400
719	6150	2391
720	6158	2383
721	6165	2373
722	6172	2364
723	6179	2355
724	6186	2346
725	6194	2338
726	6202	2329
727	6210	2320
728	6217	2311
729	6224	2302
730	6231	2293
731	6238	2283
732	6244	2274
733	6250	2265
734	6257	2256
735	6263	2246
736	6270	2237
737	6276	2228
738	6282	2218
739	6289	2209
740	6296	2200
741	6302	2191
742	6308	2181
743	6314	2172
744	6320	2163
745	6326	2153
746	6331	2144
747	6338	2135
748	6344	2126
749	6350	2116
750	6356	2107
751	6363	2098
752	6368	2089
753	6374	2079
754	6380	2070
755	6387	2061
756	6392	2052
757	6398	2042
758	6406	2034
759	6412	2024
760	6418	2015
761	6424	2006
762	6430	1997
763	6436	1988
764	6442	1978
765	6448	1969
766	6454	1960
767	6459	1951
768	6465	1942
769	6471	1933
770	6477	1923
771	6484	1915
772	6489	1905
773	6496	1896
774	6503	1888
775	6509	1879
776	6516	1870
777	6522	1861
778	6528	1851
779	6534	1843
780	6540	1834
781	6546	1825
782	6552	1816
783	6558	1807
784	6564	1797
785	6570	1788
786	6576	1779
787	6582	1770
788	6588	1761
789	6594	1752
790	6600	1744
791	6606	1735
792	6612	1726
793	6620	1717
794	6626	1708
795	6633	1700
796	6639	1691
797	6645	1682
798	6651	1673
799	6657	1664
800	6663	1655
801	6668	1646
802	6674	1637
803	6681	1628
804	6686	1619
805	6693	1611
806	6699	1602
807	6705	1593
808	6712	1584
809	6719	1576
810	6725	1567
811	6731	1558
812	6737	1549
813	6743	1540
814	6749	1532
815	6756	1523
816	6762	1514
817	6768	1505
818	6774	1497
819	6780	1488
820	6786	1479
821	6793	1471
822	6799	1462
823	6804	1453
824	6811	1444
825	6816	1436
826	6822	1427
827	6829	1418
828	6836	1410
829	6843	1401
830	6849	1392
831	6854	1384
832	6860	1375
833	6866	1366
834	6872	1357
835	6878	1349
836	6884	1340
837	6890	1331
838	6897	1323
839	6903	1315
840	6910	1306
841	6916	1297
842	6921	1289
843	6929	1280
844	6935	1272
845	6942	1263
846	6948	1255
847	6954	1246
848	6960	1237
849	6965	1229
850	6971	1220
851	6977	1212
852	6983	1203
853	6990	1195
854	6995	1186
855	7001	1177
856	7008	1169
857	7014	1160
858	7020	1152
859	7028	1144
860	7034	1135
861	7041	1127
862	7047	1118
863	7053	1110
864	7058	1101
865	7064	1093
866	7071	1084
867	7077	1076
868	7083	1067
869	7090	1059
870	7095	1050
871	7102	1042
872	7108	1034
873	7115	1025
874	7122	1017
875	7129	1009
876	7136	1000
877	7145	992
878	7153	984
879	7159	976
880	7167	968
881	7175	959
882	7181	951
883	7189	943
884	7196	935
885	7203	926
